DistrictID,DistrictName,ProvinceID,ProvinceName,Region,GID_2,GID_1,NAME_1,NAME_2,GADM_Latitude,GADM_Longitude,Population,Population_Density,Area,Is Strategic Zone Hub,Est Merchant 2026,Distributor Code,Distributor Name,SO,SO OFF,AO M06,Amount (Tax) M06,AO OFF M06,Amount (Tax) OFF M06,AO M05,Amount (Tax) M05,AO OFF M05,Amount (Tax) OFF M05
27619,Bình Hưng,79,TP. Hồ Chí Minh,HCM,Bình Hưng,TP. Hồ Chí Minh,Bình Hưng,TP. Hồ Chí Minh,10.705066,106.652419,180954,5545.632853,32.63,0,2261,0,0,0,0,0,0,0,0,0,0,0,0
27439,Bình Hưng Hòa,79,TP. Hồ Chí Minh,HCM,Bình Hưng Hòa,TP. Hồ Chí Minh,Bình Hưng Hòa,TP. Hồ Chí Minh,10.806268,106.605732,18511,2185.478158,8.47,0,231,0,0,0,0,0,0,0,0,0,0,0,0
27667,Bình Khánh,79,TP. Hồ Chí Minh,HCM,Bình Khánh,TP. Hồ Chí Minh,Bình Khánh,TP. Hồ Chí Minh,10.595496,106.887428,34945,220.779631,158.28,0,436,0,0,0,0,0,0,0,0,0,0,0,0
27610,Bình Lợi,79,TP. Hồ Chí Minh,HCM,Bình Lợi,TP. Hồ Chí Minh,Bình Lợi,TP. Hồ Chí Minh,10.751611,106.515284,4647,85.7696567,54.18,0,58,0,0,0,0,0,0,0,0,0,0,0,0
26905,Bình Lợi Trung,79,TP. Hồ Chí Minh,HCM,Bình Lợi Trung,TP. Hồ Chí Minh,Bình Lợi Trung,TP. Hồ Chí Minh,10.822767,106.703648,114367,29400.25707,3.89,0,1429,0,0,0,0,0,0,0,0,0,0,0,0
27544,Bình Mỹ,79,TP. Hồ Chí Minh,HCM,Bình Mỹ_27544,TP. Hồ Chí Minh,Bình Mỹ_27544,TP. Hồ Chí Minh,10.979973,106.61039,98169,1803.582583,54.43,0,1227,0,0,0,0,0,0,0,0,0,0,0,0
27364,Bình Phú,79,TP. Hồ Chí Minh,HCM,Bình Phú_27364,TP. Hồ Chí Minh,Bình Phú_27364,TP. Hồ Chí Minh,10.737322,106.62815,74778,26146.15385,2.86,0,934,0,0,0,0,0,0,0,0,0,0,0,0
26911,Bình Quới,79,TP. Hồ Chí Minh,HCM,Bình Quới,TP. Hồ Chí Minh,Bình Quới,TP. Hồ Chí Minh,10.822589,106.739076,455,71.76656151,6.34,0,5,0,0,0,0,0,0,0,0,0,0,0,0
27442,Bình Tân,79,TP. Hồ Chí Minh,HCM,Bình Tân_27442,TP. Hồ Chí Minh,Bình Tân_27442,TP. Hồ Chí Minh,10.792718,106.590391,159406,14169.42222,11.25,0,1992,0,0,0,0,0,0,0,0,0,0,0,0
27367,Bình Tây,79,TP. Hồ Chí Minh,HCM,Bình Tây,TP. Hồ Chí Minh,Bình Tây,TP. Hồ Chí Minh,10.750562,106.646362,62337,59368.57143,1.05,0,779,0,0,0,0,0,0,0,0,0,0,0,0
26929,Bình Thạnh,79,TP. Hồ Chí Minh,HCM,Bình Thạnh,TP. Hồ Chí Minh,Bình Thạnh,TP. Hồ Chí Minh,10.811505,106.704893,1244,374.6987952,3.32,0,15,0,0,0,0,0,0,0,0,0,0,0,0
27232,Bình Thới,79,TP. Hồ Chí Minh,HCM,Bình Thới,TP. Hồ Chí Minh,Bình Thới,TP. Hồ Chí Minh,10.764114,106.642228,55007,36188.81579,1.52,0,687,0,0,0,0,0,0,0,0,0,0,0,0
27373,Bình Tiên,79,TP. Hồ Chí Minh,HCM,Bình Tiên,TP. Hồ Chí Minh,Bình Tiên,TP. Hồ Chí Minh,10.741527,106.641046,9014,5598.757764,1.61,0,112,0,0,0,0,0,0,0,0,0,0,0,0
