WardID,WardName,WardNameUnique,ProvinceID,ProvinceName,Region,GID_2,GID_1,NAME_2,NAME_1,GADM_Latitude,GADM_Longitude
01558,Hạ Lang,Hạ Lang,04,Cao Bằng,NO,Hạ Lang,Cao Bằng,Hạ Lang,Cao Bằng,22.647964,106.713746
01438,Hà Quảng,Hà Quảng,04,Cao Bằng,NO,Hà Quảng,Cao Bằng,Hà Quảng,Cao Bằng,22.847696,106.148814
01618,Hạnh Phúc,Hạnh Phúc_01618,04,Cao Bằng,NO,Hạnh Phúc_01618,Cao Bằng,Hạnh Phúc_01618,Cao Bằng,22.625011,106.415157
01654,Hòa An,Hòa An_01654,04,Cao Bằng,NO,Hòa An_01654,Cao Bằng,Hòa An_01654,Cao Bằng,22.753632,106.198188
01351,Hưng Đạo,Hưng Đạo_01351,04,Cao Bằng,NO,Hưng Đạo_01351,Cao Bằng,Hưng Đạo_01351,Cao Bằng,22.83837,105.681963
01354,Huy Giáp,Huy Giáp,04,Cao Bằng,NO,Huy Giáp,Cao Bằng,Huy Giáp,Cao Bằng,22.796703,105.777478
01336,Khánh Xuân,Khánh Xuân,04,Cao Bằng,NO,Khánh Xuân,Cao Bằng,Khánh Xuân,Cao Bằng,22.928745,105.735557
01792,Kim Đồng,Kim Đồng,04,Cao Bằng,NO,Kim Đồng,Cao Bằng,Kim Đồng,Cao Bằng,22.527627,106.350449
01393,Lũng Nặm,Lũng Nặm,04,Cao Bằng,NO,Lũng Nặm,Cao Bằng,Lũng Nặm,Cao Bằng,22.932009,106.108184
01294,Lý Bôn,Lý Bôn,04,Cao Bằng,NO,Lý Bôn,Cao Bằng,Lý Bôn,Cao Bằng,22.924852,105.525561
01537,Lý Quốc,Lý Quốc,04,Cao Bằng,NO,Lý Quốc,Cao Bằng,Lý Quốc,Cao Bằng,22.788167,106.763731
01795,Minh Khai,Minh Khai,04,Cao Bằng,NO,Minh Khai,Cao Bằng,Minh Khai,Cao Bằng,22.475889,106.174805
01747,Minh Tâm,Minh Tâm,04,Cao Bằng,NO,Minh Tâm,Cao Bằng,Minh Tâm,Cao Bằng,22.698502,106.071459
01297,Nam Quang,Nam Quang,04,Cao Bằng,NO,Nam Quang,Cao Bằng,Nam Quang,Cao Bằng,22.916984,105.419755
01660,Nam Tuấn,Nam Tuấn,04,Cao Bằng,NO,Nam Tuấn,Cao Bằng,Nam Tuấn,Cao Bằng,22.801367,106.108762
01726,Nguyên Bình,Nguyên Bình,04,Cao Bằng,NO,Nguyên Bình,Cao Bằng,Nguyên Bình,Cao Bằng,22.671446,105.982672
01699,Nguyễn Huệ,Nguyễn Huệ,04,Cao Bằng,NO,Nguyễn Huệ,Cao Bằng,Nguyễn Huệ,Cao Bằng,22.686358,106.305976
01279,Nùng Trí Cao,Nùng Trí Cao,04,Cao Bằng,NO,Nùng Trí Cao,Cao Bằng,Nùng Trí Cao,Cao Bằng,22.687401,106.249074
01768,Phan Thanh,Phan Thanh,04,Cao Bằng,NO,Phan Thanh,Cao Bằng,Phan Thanh,Cao Bằng,22.608029,105.80987
01648,Phục Hòa,Phục Hòa,04,Cao Bằng,NO,Phục Hòa,Cao Bằng,Phục Hòa,Cao Bằng,22.521389,106.537673
01456,Quang Hán,Quang Hán,04,Cao Bằng,NO,Quang Hán,Cao Bằng,Quang Hán,Cao Bằng,22.83377,106.264816
01304,Quảng Lâm,Quảng Lâm_01304,04,Cao Bằng,NO,Quảng Lâm_01304,Cao Bằng,Quảng Lâm_01304,Cao Bằng,22.855423,105.365572
01552,Quang Long,Quang Long,04,Cao Bằng,NO,Quang Long,Cao Bằng,Quang Long,Cao Bằng,22.737569,106.684344
01465,Quang Trung,Quang Trung_01465,04,Cao Bằng,NO,Quang Trung_01465,Cao Bằng,Quang Trung_01465,Cao Bằng,22.834483,106.393316
01576,Quảng Uyên,Quảng Uyên,04,Cao Bằng,NO,Quảng Uyên,Cao Bằng,Quảng Uyên,Cao Bằng,22.716454,106.407187
01360,Sơn Lộ,Sơn Lộ,04,Cao Bằng,NO,Sơn Lộ,Cao Bằng,Sơn Lộ,Cao Bằng,22.729368,105.662417
01774,Tam Kim,Tam Kim,04,Cao Bằng,NO,Tam Kim,Cao Bằng,Tam Kim,Cao Bằng,22.587501,106.024746
01288,Tân Giang,Tân Giang,04,Cao Bằng,NO,Tân Giang,Cao Bằng,Tân Giang,Cao Bằng,22.618148,106.26896
01807,Thạch An,Thạch An,04,Cao Bằng,NO,Thạch An,Cao Bằng,Thạch An,Cao Bằng,22.488993,106.409238
01777,Thành Công,Thành Công_01777,04,Cao Bằng,NO,Thành Công_01777,Cao Bằng,Thành Công_01777,Cao Bằng,22.567611,105.877356
01387,Thanh Long,Thanh Long,04,Cao Bằng,NO,Thanh Long,Cao Bằng,Thanh Long,Cao Bằng,22.763035,105.942956
01363,Thông Nông,Thông Nông,04,Cao Bằng,NO,Thông Nông,Cao Bằng,Thông Nông,Cao Bằng,22.78863,106.001199
01273,Thục Phán,Thục Phán,04,Cao Bằng,NO,Thục Phán,Cao Bằng,Thục Phán,Cao Bằng,22.67726,106.187063
01729,Tĩnh Túc,Tĩnh Túc,04,Cao Bằng,NO,Tĩnh Túc,Cao Bằng,Tĩnh Túc,Cao Bằng,22.696,105.892308
01414,Tổng Cọt,Tổng Cọt,04,Cao Bằng,NO,Tổng Cọt,Cao Bằng,Tổng Cọt,Cao Bằng,22.940781,106.181979
01447,Trà Lĩnh,Trà Lĩnh,04,Cao Bằng,NO,Trà Lĩnh,Cao Bằng,Trà Lĩnh,Cao Bằng,22.7866,106.329105
